paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
10.1007/978-3-642-02121-3_60,esws,ESWC,European Semantic Web Conference,"Heraklion, Crete",Greece,3,Ravish,Bhagdev,grid.435801.b,Knowledge Now (United Kingdom),Sheffield,United Kingdom,GB,Knowledge Now Limited,K-Tools: Towards Semantic Knowledge Management,10.1007/978-3-642-02121-3,The Semantic Web: Research and Applications,"6th European Semantic Web Conference, ESWC 2009 Heraklion, Crete, Greece, May 31? June 4, 2009 Proceedings",OpenAccess,2009-01-01
10.1007/978-3-540-68234-9_31,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,1,Antoine,Isaac,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,Koninklijke Bibliotheek,"Putting Ontology Alignment in Context: Usage Scenarios, Deployment and Evaluation in a Library Case",10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_31,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,2,Henk,Matthezing,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,Koninklijke Bibliotheek,"Putting Ontology Alignment in Context: Usage Scenarios, Deployment and Evaluation in a Library Case",10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_31,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,3,Lourens,Meij,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,Koninklijke Bibliotheek,"Putting Ontology Alignment in Context: Usage Scenarios, Deployment and Evaluation in a Library Case",10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_31,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,5,Shenghui,Wang,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,Koninklijke Bibliotheek,"Putting Ontology Alignment in Context: Usage Scenarios, Deployment and Evaluation in a Library Case",10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-642-13486-9_27,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,1,Lourens,Meij,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,"Koninklijke Bibliotheek, Den Haag",A Web-Based Repository Service for Vocabularies and Alignments in the Cultural Heritage Domain,10.1007/978-3-642-13486-9,The Semantic Web: Research and Applications,"7th Extended Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 2, 2010, Proceedings, Part I",OpenAccess,2010-01-01
10.1007/978-3-642-13486-9_27,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,2,Antoine,Isaac,grid.425631.7,National Library of the Netherlands,The Hague,Netherlands,NL,"Koninklijke Bibliotheek, Den Haag",A Web-Based Repository Service for Vocabularies and Alignments in the Cultural Heritage Domain,10.1007/978-3-642-13486-9,The Semantic Web: Research and Applications,"7th Extended Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 2, 2010, Proceedings, Part I",OpenAccess,2010-01-01
10.1007/978-3-642-13489-0_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,1,Seungwoo,Lee,grid.249964.4,Korea Institute of Science & Technology Information,Daejeon,South Korea,KR,Korea Institute of Science and Technology Information (KISTI),OntoFrame S3: Semantic Web-Based Academic Research Information Portal Service Empowered by STAR-WIN,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
10.1007/978-3-642-13489-0_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,2,Mikyoung,Lee,grid.249964.4,Korea Institute of Science & Technology Information,Daejeon,South Korea,KR,Korea Institute of Science and Technology Information (KISTI),OntoFrame S3: Semantic Web-Based Academic Research Information Portal Service Empowered by STAR-WIN,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
10.1007/978-3-642-13489-0_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,3,Pyung,Kim,grid.249964.4,Korea Institute of Science & Technology Information,Daejeon,South Korea,KR,Korea Institute of Science and Technology Information (KISTI),OntoFrame S3: Semantic Web-Based Academic Research Information Portal Service Empowered by STAR-WIN,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
